Type de bien,Lot,Surface,Etage,Terrasse,Exposition,Parking,Garage/Box,Prix,Prix/m2,Défiscalisation,Plan
<b>T1</b>,B20,55 m2,R+1,9 m2,Sud,1 place,Garage,<b>180 000 €</b>,3 500 €/m2,30 000 €,<button>Plan</button>
<b>T1</b>,B21,57 m2,R+2,9 m2,Sud,1 place,Garage,<b>180 000 €</b>,3 500 €/m2,30 000 €,<button>Plan</button>
<b>T1</b>,B22,57 m2,R+2,9 m2,Sud,1 place,Garage,<b>180 000 €</b>,3 500 €/m2,30 000 €,<button>Plan</button>
<b>T1</b>,B23,58 m2,R+1,9 m2,Sud,1 place,Garage,<b>180 000 €</b>,3 500 €/m2,30 000 €,<button>Plan</button>
<b>T1</b>,B24,60 m2,R+1,9 m2,Sud,1 place,Garage,<b>180 000 €</b>,3 500 €/m2,30 000 €,<button>Plan</button>
<b>T2</b>,B25,65 m2,R+1,11 m2,Sud,1 place,Garage,<b>210 000 €</b>,3 900 €/m2,40 000 €,<button>Plan</button>
<b>T2</b>,B26,67 m2,R+3,11 m2,Sud,1 place,Garage,<b>210 000 €</b>,3 900 €/m2,40 000 €,<button>Plan</button>
<b>T2</b>,B27,69 m2,R+3,11 m2,Sud,1 place,Garage,<b>210 000 €</b>,3 900 €/m2,40 000 €,<button>Plan</button>
<b>T3</b>,B28,72 m2,R+1,12 m2,Sud,2 places,Double garage,<b>260 000 €</b>,4 250 €/m2,45 000 €,<button>Plan</button>
<b>T3</b>,B29,74 m2,R+1,12 m2,Sud,2 places,Double garage,<b>260 000 €</b>,4 250 €/m2,45 000 €,<button>Plan</button>
<b>T3</b>,B30,75 m2,R+1,12 m2,Sud,2 places,Double garage,<b>260 000 €</b>,4 250 €/m2,45 000 €,<button>Plan</button>
<b>T3</b>,B31,76 m2,R+3,12 m2,Sud,2 places,Double garage,<b>260 000 €</b>,4 250 €/m2,45 000 €,<button>Plan</button>
<b>T4</b>,B32,82 m2,R+3,14 m2,Sud,2 places,Double garage,<b>310 000 €</b>,4 900 €/m2,51 000 €,<button>Plan</button>
<b>T4</b>,B33,86 m2,R+4,14 m2,Sud,2 places,Double garage,<b>310 000 €</b>,4 900 €/m2,51 000 €,<button>Plan</button>
